1.1 a,1.1 b,1.2 b,1.3 b,2.1 b,2.2 b,2.3 b,3.1b,3.2 b,3.3 b,4 b 
227,4.2,2.9,0,0,0,0,7.2,12.8,48.1,0
228,4.2,2.9,0,0,0,0,7.2,12.8,48.2,0
229,4.1,2.9,0,0,0,0,7.2,12.8,48.2,0
230,4.1,2.9,0,0,0,0,7.2,12.8,48.2,0
231,4.3,2.9,0,0,0,0,6.8,12.8,48.2,0
232,4.3,2.9,0,0,0,0,6.8,12.8,48.3,0
233,4.3,2.9,0,0,0,0,6.8,12.8,48.2,0
234,4.3,2.9,0,0,0,0,6.8,12.8,48.3,0
235,4.3,2.9,0,0,0,0,7.2,12.8,48.2,0
236,4.4,2.9,0,0,0,0,7.2,12.8,48.4,0
237,4.5,2.9,0,0,0,0,7.2,12.8,48.4,0
238,4.5,2.9,0,0,0,0,7.2,12.8,48.4,0
239,4.5,2.9,0,0,0,0,7.2,12.8,48.4,0
240,4.5,2.9,0,0,0,0,7.2,12.8,48.4,0
241,4.5,2.9,0,0,0,0,7.2,12.8,48.3,0
242,4.8,2.9,0,0,0,0,7.2,12.8,48.4,0
243,4.8,2.9,0,0,0,0,7.2,12.8,48.3,0
244,4.8,2.9,0,0,0,0,7.2,12.8,48.4,0
245,4.8,2.9,0,0,0,0,7.2,12.8,48.4,0
246,4.8,2.9,0,0,0,0,6.8,12.8,48.4,0
247,4.8,2.9,0,0,0,0,6.8,12.8,48.3,0
248,4.8,2.9,0,0,0,0,7.2,12.8,48.4,0
249,4.8,2.9,0,0,0,0,7.2,12.8,48.3,0
250,4.8,2.9,0,0,0,0,7.2,12.8,48.4,0
251,4.8,2.9,0,0,0,0,7.2,12.8,48.4,0
252,4.8,2.9,0,0,0,0,7.2,12.9,48.4,0
253,4.8,2.9,0,0,0,0,7.2,12.8,48.4,0
254,4.8,2.9,0,0,0,0,7.2,12.9,48.4,0
255,4.8,2.9,0,0,0,0,7.2,12.9,48.4,0
256,4.9,2.9,0,0.1,0.4,0,7.2,13,48.6,0.2
257,4.9,2.9,0,0.1,0.4,0,7.2,12.9,48.5,0.1
258,4.9,2.9,0,0,0.4,0,7.2,12.9,48.5,0
259,4.9,2.9,0,0,0.4,0,7.2,12.9,48.4,0
260,4.9,2.9,0,0,0.4,0,7.2,12.9,48.5,0
261,4.9,2.8,0,0,0.4,0,7.2,12.9,48.5,0
262,4.9,2.8,0,0,0.4,0,7.2,12.9,48.5,0
263,4.9,2.8,0,0,0.4,0,7.2,12.9,48.4,0
264,4.9,2.8,0,0,0.4,0,7.2,12.9,48.4,0
265,4.8,2.8,0,0,0.4,0,7.2,12.9,48.4,0
266,4.8,2.8,0,0,0.4,0,7.2,12.9,48.5,0
267,4.8,2.8,0,0,0.4,0,7.2,12.9,48.5,0
268,4.8,2.8,0,0,0.4,0,7.2,12.9,48.5,0
269,4.8,2.7,0,0,0.4,0,7.2,12.9,48.5,0
270,4.8,2.7,0,0,0.4,0,7.2,12.9,48.6,0
271,4.8,2.6,0,0,0.4,0,7.2,12.9,48.5,0
272,4.8,2.6,0,0,0.4,0,7.2,12.9,48.6,0
273,4.9,2.6,0,0,0.4,0,7.2,12.9,48.5,0
274,4.9,2.6,0,0,0.4,0,7.2,12.9,48.6,0
275,4.9,2.5,0,0,0.4,0,7.2,12.9,48.6,0
276,4.9,2.5,0,0,0.4,0,7.2,12.9,48.6,0
