method,function,point,stepsize,num_d,anal_d,rel_error
Forward Differrence,$e^x$,20,0.3141592653589793,570023753.581962,485165195.4097903,0.1749065245714848
Forward Differrence,$e^x$,20,0.23561944901923454,547088885.6565288,485165195.4097903,0.12763423846682836
Forward Differrence,$e^x$,20,0.15707963267948977,525346019.8184645,485165195.4097903,0.08281885178250653
Forward Differrence,$e^x$,20,0.078539816339745,504726328.15863216,485165195.4097903,0.04031849962427695
Forward Differrence,$e^x$,20,2.220446049250313e-16,0.0,485165195.4097903,1.0
Central Difference,cos(x),5,0.3141592653589793,0.9549857187857211,0.9589242746631385,0.004107264756438558
Central Difference,cos(x),5,0.23561944901923454,0.9567076408352763,0.9589242746631385,0.002311583809514964
Central Difference,cos(x),5,0.15707963267948977,0.957938724176475,0.9589242746631385,0.001027766751456682
Central Difference,cos(x),5,0.078539816339745,0.9586778300402566,0.9589242746631385,0.0002570011307393254
Central Difference,cos(x),5,2.220446049250313e-16,0.0,0.9589242746631385,1.0
Central Difference,cos(x),10,0.3141592653589793,0.5417866721538583,0.5440211108893698,0.0041072647564329955
Central Difference,cos(x),10,0.23561944901923454,0.542763560497408,0.5440211108893698,0.002311583809506738
Central Difference,cos(x),10,0.15707963267948977,0.543461984079507,0.5440211108893698,0.0010277667514570236
Central Difference,cos(x),10,0.078539816339745,0.5438812968487257,0.5440211108893698,0.0002570011307383753
Central Difference,cos(x),10,2.220446049250313e-16,0.0,0.5440211108893698,1.0
Central Difference,cos(x),15,0.3141592653589793,-0.6476169358297027,-0.6502878401571168,0.00410726475643279
Central Difference,cos(x),15,0.23561944901923454,-0.64878464531429,-0.6502878401571168,0.002311583809507502
Central Difference,cos(x),15,0.15707963267948977,-0.6496194959361264,-0.6502878401571168,0.001027766751457171
Central Difference,cos(x),15,0.078539816339745,-0.6501207154468903,-0.6502878401571168,0.0002570011307394707
Central Difference,cos(x),15,2.220446049250313e-16,0.0,-0.6502878401571168,1.0
Central Difference,cos(x),20,0.3141592653589793,-0.9091955428747611,-0.9129452507276277,0.00410726475643308
Central Difference,cos(x),20,0.23561944901923454,-0.9108349012670651,-0.9129452507276277,0.00231158380952261
Central Difference,cos(x),20,0.15707963267948977,-0.9120069559530296,-0.9129452507276277,0.0010277667514565928
Central Difference,cos(x),20,0.078539816339745,-0.9127106227658468,-0.9129452507276277,0.00025700113078398
Central Difference,cos(x),20,2.220446049250313e-16,0.0,-0.9129452507276277,1.0
Central Difference,$e^x$,5,0.3141592653589793,149.02423715637497,148.4131591025766,0.004117411538797687
Central Difference,$e^x$,5,0.23561944901923454,148.75670503945307,148.4131591025766,0.002314794314424795
Central Difference,$e^x$,5,0.15707963267948977,148.56578733271607,148.4131591025766,0.001028400925243969
Central Difference,$e^x$,5,0.078539816339745,148.4513073347668,148.4131591025766,0.000257040766606344
Central Difference,$e^x$,5,2.220446049250313e-16,0.0,148.4131591025766,1.0
